,raw,raw,raw,raw,raw,raw,dt,dt,dt,dt,dt,dt,env,env,env,env,env,env
,00:BHE,00:BHN,00:BHZ,10:BHE,10:BHN,10:BHZ,00:BHE,00:BHN,00:BHZ,10:BHE,10:BHN,10:BHZ,00:BHE,00:BHN,00:BHZ,10:BHE,10:BHN,10:BHZ
Time,,,,,,,,,,,,,,,,,,
2022-09-10 19:19:08.019500+00:00,-23219.0,30241.0,-4301.0,-873.0,3581.0,1310.0,70.0,-202.0,19.0,-68.0,-102.0,63.0,168.25080485196298,204.13475941152208,79.66387721755281,97.49017044468293,126.9816259674341,117.60243761645985
2022-09-10 19:19:08.044500+00:00,-23149.0,30039.0,-4282.0,-941.0,3479.0,1373.0,70.0,-202.0,19.0,-68.0,-102.0,63.0,168.25080485196298,204.13475941152208,79.66387721755281,97.49017044468293,126.9816259674341,117.60243761645985
2022-09-10 19:19:08.069500+00:00,-23188.0,29942.0,-4082.0,-899.0,3528.0,1418.0,-39.0,-97.0,200.0,42.0,49.0,45.0,90.78729720249048,168.66930169219688,215.5001933487145,96.7694855485619,49.03060268852506,67.86997372427172
2022-09-10 19:19:08.094500+00:00,-23158.0,30096.0,-4001.0,-933.0,3484.0,1390.0,30.0,154.0,81.0,-34.0,-44.0,-28.0,109.27640794486858,156.7896680269462,135.43387070202687,79.776771890904,44.1361529814278,51.08163401197473
2022-09-10 19:19:08.119500+00:00,-23191.0,29779.0,-4195.0,-1007.0,3204.0,1321.0,-33.0,-317.0,-194.0,-74.0,-280.0,-69.0,146.9364942188745,330.3472920024218,239.41386760169095,89.11415899470367,280.0148805569685,158.42137902863152
2022-09-10 19:19:08.144500+00:00,-23374.0,29306.0,-4365.0,-809.0,3158.0,1347.0,-183.0,-473.0,-170.0,198.0,-46.0,26.0,341.3053373935622,473.0595452301257,423.0606733476101,210.54532370331412,109.44100389403106,83.26063495634257
2022-09-10 19:19:08.169500+00:00,-23231.0,29451.0,-4187.0,-752.0,3244.0,1372.0,143.0,145.0,178.0,57.0,86.0,25.0,158.8993392056745,146.401275039985,185.10897691180008,77.91234390860882,87.96211305632292,41.32795663954365
2022-09-10 19:19:08.194500+00:00,-22929.0,29652.0,-4229.0,-682.0,3253.0,1231.0,302.0,201.0,-42.0,70.0,9.0,-141.0,360.82128540317575,282.5709350469955,86.51204155106579,75.94076639065474,122.15290963924409,220.22110101743957
2022-09-10 19:19:08.219500+00:00,-22720.0,29653.0,-4664.0,-530.0,3309.0,1182.0,209.0,1.0,-435.0,152.0,56.0,-49.0,210.9842016202477,371.8149181156309,443.650012209324,321.6587218362551,128.8526289991787,101.01485039339512
2022-09-10 19:19:08.244500+00:00,-22399.0,29584.0,-4737.0,-565.0,3223.0,1192.0,321.0,-69.0,-73.0,-35.0,-86.0,10.0,324.2242022633926,237.7106083735712,75.59320957158343,35.79571668975678,89.83874442577657,235.19424596136133
2022-09-10 19:19:08.269500+00:00,-22301.0,29468.0,-4610.0,-470.0,3235.0,1187.0,98.0,-116.0,127.0,95.0,12.0,-5.0,117.09397934992218,117.20210464549405,175.98105958691502,115.90225767142472,58.96891836665593,49.903239707791855
2022-09-10 19:19:08.294500+00:00,-22490.0,29603.0,-4605.0,-377.0,3316.0,1162.0,-189.0,135.0,5.0,93.0,81.0,-25.0,210.36713938572566,175.41474662448803,24.75883680627989,102.83157751067193,105.84107583227471,157.87653403846937
2022-09-10 19:19:08.319500+00:00,-22462.0,29665.0,-4754.0,-426.0,3278.0,1085.0,28.0,62.0,-149.0,-49.0,-38.0,-77.0,84.99607834090544,119.52823934116992,162.19741058352318,80.67217612039481,41.295681775862896,85.9127464349732
2022-09-10 19:19:08.344500+00:00,-22216.0,29608.0,-4955.0,-357.0,3300.0,1089.0,246.0,-57.0,-201.0,69.0,22.0,4.0,248.5082158266268,264.2952894018355,213.75921032788273,146.07304109017971,43.50095784386054,129.3883044688867
2022-09-10 19:19:08.369500+00:00,-22016.0,29554.0,-4933.0,-374.0,3184.0,1069.0,200.0,-54.0,22.0,-17.0,-116.0,-20.0,200.96102441352485,116.09191760554796,30.66485501895179,81.46778504415101,116.0129303138232,183.53564594741084
2022-09-10 19:19:08.394500+00:00,-22102.0,29409.0,-4924.0,-491.0,3230.0,1047.0,-86.0,-145.0,9.0,-117.0,46.0,-22.0,111.53026495081951,155.0268793897798,18.50225211517056,118.93415545306287,71.5844489629789,79.32212806020776
2022-09-10 19:19:08.419500+00:00,-22284.0,29690.0,-4903.0,-332.0,3420.0,1119.0,-182.0,281.0,21.0,159.0,190.0,72.0,218.36742736345394,304.46236768003587,73.50056689123787,186.55115473599548,196.5273517859537,226.5215221562843
2022-09-10 19:19:08.444500+00:00,-22244.0,29884.0,-4796.0,-255.0,3340.0,1078.0,40.0,194.0,107.0,77.0,-80.0,-41.0,141.45081595145828,197.8189407850859,126.5385316810654,132.60970301351756,105.07774899251187,80.50465825031493
2022-09-10 19:19:08.469500+00:00,-22111.0,29598.0,-4883.0,-275.0,3284.0,1105.0,133.0,-286.0,-87.0,-20.0,-56.0,27.0,224.3776578301265,312.9366283024941,176.5059016954768,26.839026311200886,62.22807512155051,112.40996397117117
2022-09-10 19:19:08.494500+00:00,-21986.0,29563.0,-4670.0,-212.0,3284.0,1287.0,125.0,-35.0,213.0,63.0,0.0,182.0,176.9783414244052,61.695488759984144,220.38678121278804,138.17380359532694,68.70468203356546,195.78644828826467
2022-09-10 19:19:08.519500+00:00,-21884.0,29587.0,-4272.0,-278.0,3229.0,1278.0,102.0,24.0,398.0,-66.0,-55.0,-9.0,103.76415566080611,172.5726899985433,401.3776276774778,269.73876250921,64.09368143584823,91.08969938106796
2022-09-10 19:19:08.544500+00:00,-21784.0,29494.0,-4357.0,-206.0,3275.0,1282.0,100.0,-93.0,-85.0,72.0,46.0,4.0,114.61384442262346,141.6239151179395,127.67145334803703,104.42381592976449,60.47589051294186,31.432467291003423
2022-09-10 19:19:08.569500+00:00,-21733.0,29610.0,-4422.0,-177.0,3279.0,1290.0,51.0,116.0,-65.0,29.0,4.0,8.0,80.55432949258531,133.94526245199316,82.1462111116514,49.27473997901967,12.767145334803706,28.290163190291665
2022-09-10 19:19:08.594500+00:00,-21779.0,29469.0,-4502.0,-310.0,3080.0,1229.0,-46.0,-141.0,-80.0,-133.0,-199.0,-61.0,65.18691075157138,142.3598726233391,80.1332224070225,149.69747270189077,203.2953516438583,107.34989520255714
