,stalta,stalta_end,stalta_end_norm,s1,s2,s3,rs1,rs2,rs3,rs3_inv,rs1_stalta,rs2_stalta,rs3_stalta,rs3_inv_stalta
0,3.6941092,5.689205,3.000730545839876,-20.3125,-6.0,-19.8125,-4.1875,-4.1875,-22.0625,-4.8125,-5.125,-4.75,7.75,-5.25
1,2.948977,4.4000273,2.320723296615087,-20.3125,-6.0,-19.8125,-4.1875,-4.1875,-22.0625,-4.8125,-5.125,-4.75,7.75,-5.25
2,2.4784338,3.8309116,2.09605145875454,210.625,-127.5,-127.9375,210.625,191.9375,161.6875,208.625,203.75,208.0,220.5625,208.0
3,4.57862,7.0379233,2.7976481826776944,-51.75,-60.25,-33.4375,139.6875,-60.25,-65.5625,-2.4375,-3.5625,-4.0625,-38.0,-3.875
4,3.4852881,5.3050046,2.128294749481938,-51.75,-60.25,-33.4375,139.6875,-60.25,-65.5625,-2.4375,-3.5625,-4.0625,-38.0,-3.875
5,5.748224,8.566044,2.837615899310637,-126.4375,-31.4375,280.1875,259.0,75.3125,277.875,-1.6875,-5.1875,171.0625,98.3125,185.0
6,4.850035,7.3547616,2.5975373454624457,-126.4375,-31.4375,280.1875,259.0,75.3125,277.875,-1.6875,-5.1875,171.0625,98.3125,185.0
7,4.192642,6.6506805,2.361933912069581,-126.4375,-31.4375,280.1875,259.0,75.3125,277.875,-1.6875,-5.1875,171.0625,98.3125,185.0
8,3.7343807,5.9790597,2.122924771459365,-126.4375,-31.4375,280.1875,259.0,75.3125,277.875,-1.6875,-5.1875,171.0625,98.3125,185.0
9,6.4692407,9.960332,3.587135253553723,-149.375,-285.0625,-52.25,-245.5625,139.4375,56.125,3.875,-114.0,-5.25,19.0,-18.6875
10,5.022371,7.5983863,2.6895833691182034,-149.375,-285.0625,-52.25,-245.5625,139.4375,56.125,3.875,-114.0,-5.25,19.0,-18.6875
11,4.711772,6.798221,2.4066716594172948,-149.375,-285.0625,-52.25,-245.5625,139.4375,56.125,3.875,-114.0,-5.25,19.0,-18.6875
12,3.2612393,3.7980862,2.05573005229206,-3.8125,273.5,-19.8125,-3.8125,-3.8125,-10.5625,-3.875,-4.0,-5.375,0.6875,-6.25
13,3.2646654,3.7840588,2.048052080660083,-3.8125,273.5,-19.8125,-3.8125,-3.8125,-10.5625,-3.875,-4.0,-5.375,0.6875,-6.25
14,2.0376656,5.648748,2.9647526188587565,-68.75,-69.375,-13.4375,-1.875,69.4375,-180.25,-5.375,-137.1875,-5.375,-76.5,-5.375
15,1.7634538,5.0627084,2.6138429622656822,-68.75,-69.375,-13.4375,-1.875,69.4375,-180.25,-5.375,-137.1875,-5.375,-76.5,-5.375
16,1.6753261,4.232379,2.211034074767902,-32.375,-44.4375,63.375,-127.0625,63.375,-215.5625,-127.125,-274.375,-154.125,-231.4375,-152.75
17,2.8552892,4.849877,2.4267678703082223,60.5625,225.875,125.5625,60.5625,-220.8125,40.5,-125.9375,-5.375,-5.3125,39.5625,-5.3125
18,4.7804623,8.160129,3.515976396051811,-297.125,-5.5625,-122.6875,105.5625,129.625,192.875,-5.5,-5.375,-5.375,12.5,-5.375
19,4.2053213,6.9060054,2.977368789283948,-297.125,-5.5625,-122.6875,105.5625,129.625,192.875,-5.5,-5.375,-5.375,12.5,-5.375
20,3.4486148,5.735836,2.4700406718451724,-297.125,-5.5625,-122.6875,105.5625,129.625,192.875,-5.5,-5.375,-5.375,12.5,-5.375
21,3.33317,5.0609293,2.1511658830081544,-297.125,-5.5625,-122.6875,105.5625,129.625,192.875,-5.5,-5.375,-5.375,12.5,-5.375
22,3.089362,5.5625196,2.364113199185561,-46.125,-73.25,-277.8125,4.9375,-118.0625,-71.0625,-5.375,-5.375,-5.375,98.6875,-5.375
23,3.0334294,5.400463,2.1760600632369687,-46.125,-73.25,-277.8125,4.9375,-118.0625,-71.0625,-5.375,-5.375,-5.375,98.6875,-5.375
